value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen
104.140.154.220:30239,ip,2025-09-14 08:43:20,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.249:30058,ip,2025-09-14 08:43:21,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.251:30102,ip,2025-09-14 08:43:21,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.242:30081,ip,2025-09-14 08:43:21,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.238:30082,ip,2025-09-14 08:43:21,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.241:30081,ip,2025-09-14 08:43:21,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.38:30248,ip,2025-09-14 08:43:22,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.235:30248,ip,2025-09-14 08:43:21,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.36:30058,ip,2025-09-14 08:43:22,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.34:30139,ip,2025-09-14 08:43:22,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.3:30140,ip,2025-09-14 08:43:22,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.32:30131,ip,2025-09-14 08:43:22,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.3:30058,ip,2025-09-14 08:43:22,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.67:30139,ip,2025-09-14 08:43:23,2025-09-15 13:43:25,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.27:30239,ip,2025-09-14 08:43:22,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.61:30139,ip,2025-09-14 08:43:23,2025-09-15 13:43:25,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.66:30123,ip,2025-09-14 08:43:23,2025-09-15 13:43:25,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.48:30188,ip,2025-09-14 08:43:23,2025-09-15 13:43:25,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.5:30239,ip,2025-09-14 08:43:23,2025-09-15 13:43:25,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.47:30021,ip,2025-09-14 08:43:23,2025-09-15 13:43:24,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.47:30081,ip,2025-09-14 08:43:23,2025-09-15 13:43:25,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.85:30239,ip,2025-09-14 08:43:24,2025-09-15 13:43:26,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.8:30058,ip,2025-09-14 08:43:24,2025-09-15 13:43:26,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.81:30081,ip,2025-09-14 08:43:24,2025-09-15 13:43:26,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.75:30082,ip,2025-09-14 08:43:24,2025-09-15 13:43:26,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.79:30112,ip,2025-09-14 08:43:24,2025-09-15 13:43:26,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.68:30139,ip,2025-09-14 08:43:24,2025-09-15 13:43:25,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.93:30058,ip,2025-09-14 08:43:25,2025-09-15 13:43:27,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.99:30139,ip,2025-09-14 08:43:25,2025-09-15 13:43:27,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.92:30239,ip,2025-09-14 08:43:25,2025-09-15 13:43:27,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
154.91.231.68:8097,ip,2025-09-14 08:44:27,2025-09-15 13:44:43,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.90:30035,ip,2025-09-14 08:43:25,2025-09-15 13:43:26,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
43.137.165.146:10250,ip,2025-09-14 08:47:18,2025-09-15 13:48:03,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
37.107.24.78:443,ip,2025-09-14 08:47:09,2025-09-15 13:47:50,win.qakbot,botnet_cc,abuse_ch,75,1,,,
genpyb.asia,domain,2025-09-14 09:24:03,,win.lumma,botnet_cc,DonPasci,100,1,,,
https://genpyb.asia/qweo,url,2025-09-14 09:28:04,2025-09-14 09:28:05,win.lumma,botnet_cc,DonPasci,100,1,,,
https://openai-diversifies-with-ai.com:6343/gateway/8k9xlxs5.vtcl8,url,2025-09-14 09:40:06,,win.rhadamanthys,botnet_cc,DonPasci,100,1,,,
openai-diversifies-with-ai.com,domain,2025-09-14 09:38:58,,win.rhadamanthys,botnet_cc,DonPasci,100,1,,,
2.58.56.225:6343,ip,2025-09-14 09:41:43,,win.rhadamanthys,botnet_cc,DonPasci,100,1,,,
http://178.16.53.243:6343/gateway/3mh6oe84.n0756,url,2025-09-14 09:47:47,,win.rhadamanthys,botnet_cc,DonPasci,100,1,,,
178.16.53.236:6343,ip,2025-09-14 09:46:06,,win.rhadamanthys,botnet_cc,DonPasci,100,1,,,
202.95.16.54:808,ip,2025-09-14 11:08:15,2025-09-15 05:34:58,win.cobalt_strike,botnet_cc,abuse_ch,100,1,,,
202.95.16.38:808,ip,2025-09-14 11:07:47,2025-09-15 05:35:03,win.cobalt_strike,botnet_cc,abuse_ch,100,1,,,
124.71.106.116:8111,ip,2025-09-14 11:08:17,2025-09-15 05:34:58,win.cobalt_strike,botnet_cc,abuse_ch,100,1,,,
xbm.schermgebroken.nl,domain,2025-09-14 11:10:23,2025-09-14 15:10:39,win.vidar,botnet_cc,abuse_ch,75,1,,,
https://xbm.amajed.com,url,2025-09-14 11:10:22,2025-09-14 15:10:38,win.vidar,botnet_cc,abuse_ch,75,1,,,
xbm.amajed.com,domain,2025-09-14 11:10:23,2025-09-14 15:10:38,win.vidar,botnet_cc,abuse_ch,75,1,,,
https://xbm.schermgebroken.nl,url,2025-09-14 11:10:23,2025-09-14 15:10:39,win.vidar,botnet_cc,abuse_ch,75,1,,,
us.qilaliy87.ru,domain,2025-09-14 11:23:25,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
hope.cewyzui61.ru,domain,2025-09-14 11:23:24,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
past.qilaliy87.ru,domain,2025-09-14 11:23:26,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
let.qilaliy87.ru,domain,2025-09-14 11:23:25,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
http://178.128.219.58:8888/supershell/login/,url,2025-09-14 11:23:26,,unknown,botnet_cc,antiphishorg,100,1,,,
pool.qilaliy87.ru,domain,2025-09-14 11:23:28,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
root.qilaliy87.ru,domain,2025-09-14 11:23:27,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
69.67.172.36:4430,ip,2025-09-14 11:23:29,,unknown,botnet_cc,s1dhy,75,1,,,
lot.cofidyu58.ru,domain,2025-09-14 11:23:28,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
rat.vudujiu33.ru,domain,2025-09-14 11:23:30,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
gold.vudujiu33.ru,domain,2025-09-14 11:23:29,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
star.cofidyu58.ru,domain,2025-09-14 11:23:31,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
full.cofidyu58.ru,domain,2025-09-14 11:23:30,2025-09-14 09:55:03,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
