value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen,features.days_since_last_seen,features.seen_duration_days,domain_tld,domain_length,domain_digits,domain_hyphens,ip_octets,ip_port
37.106.35.173:18031,ip,2025-09-16 05:19:18,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,18031
37.106.35.173:20256,ip,2025-09-16 05:19:18,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,20256
37.106.35.173:16059,ip,2025-09-16 05:19:18,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,16059
37.106.35.173:1956,ip,2025-09-16 05:19:18,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,1956
94.99.102.172:7771,ip,2025-09-16 05:19:19,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,7771
37.106.35.173:3556,ip,2025-09-16 05:19:18,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3556
94.99.102.172:8889,ip,2025-09-16 05:19:19,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8889
37.106.35.173:31337,ip,2025-09-16 05:19:19,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,31337
94.99.102.172:1457,ip,2025-09-16 05:19:19,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,1457
37.106.35.173:13780,ip,2025-09-16 05:19:19,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,13780
37.106.35.173:8443,ip,2025-09-16 05:19:19,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8443
37.106.35.173:1604,ip,2025-09-16 05:19:19,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,1604
94.99.102.172:10048,ip,2025-09-16 05:19:20,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,10048
94.99.102.172:5242,ip,2025-09-16 05:19:20,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,5242
94.99.102.172:5249,ip,2025-09-16 05:19:20,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,5249
94.99.102.172:8089,ip,2025-09-16 05:19:20,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8089
94.99.102.172:37777,ip,2025-09-16 05:19:21,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,37777
94.99.102.172:4080,ip,2025-09-16 05:19:20,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,4080
94.99.102.172:12165,ip,2025-09-16 05:19:21,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,12165
94.99.102.172:15044,ip,2025-09-16 05:19:21,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,15044
94.99.102.172:3162,ip,2025-09-16 05:19:21,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3162
94.99.102.172:21290,ip,2025-09-16 05:19:21,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,21290
94.99.102.172:30001,ip,2025-09-16 05:19:21,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,30001
94.99.102.172:2060,ip,2025-09-16 05:19:22,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,2060
94.99.102.172:1650,ip,2025-09-16 05:19:22,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,1650
